 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/deg)
  Year: 2026  Perigee Altitude =    413.000  Apogee Altitude =   422.000  inc =   51.64
 *
 *
 *
 *
 *
 *
 *
  Az 1    Az 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          1.03E-01   8.26E-04   4.45E-06   5.03E-10   1.91E-11   1.06E-11
   Max.:          2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
 ------  ------   --------   --------   --------   --------   --------   --------  
  -180    -179    1.03E-01   8.26E-04   4.45E-06   5.03E-10   1.91E-11   1.13E-11
  -179    -178    1.03E-01   8.26E-04   4.45E-06   5.03E-10   1.91E-11   1.13E-11
  -178    -177    1.03E-01   8.26E-04   4.45E-06   5.03E-10   1.91E-11   1.13E-11
  -177    -176    1.03E-01   8.26E-04   4.45E-06   5.03E-10   1.91E-11   1.13E-11
  -176    -175    1.03E-01   8.26E-04   4.45E-06   5.03E-10   1.91E-11   1.13E-11
  -175    -174    1.03E-01   8.26E-04   4.45E-06   5.03E-10   1.91E-11   1.13E-11
  -174    -173    1.03E-01   8.26E-04   4.45E-06   5.03E-10   1.91E-11   1.13E-11
  -173    -172    1.03E-01   8.26E-04   4.45E-06   5.03E-10   1.91E-11   1.13E-11
  -172    -171    1.03E-01   8.26E-04   4.45E-06   5.03E-10   1.91E-11   1.13E-11
  -171    -170    1.03E-01   8.26E-04   4.45E-06   5.03E-10   1.91E-11   1.13E-11
  -170    -169    1.03E-01   8.26E-04   4.45E-06   5.03E-10   1.91E-11   1.13E-11
  -169    -168    1.03E-01   8.26E-04   4.45E-06   5.03E-10   1.91E-11   1.13E-11
  -168    -167    1.03E-01   8.26E-04   4.45E-06   5.03E-10   1.91E-11   1.13E-11
  -167    -166    1.03E-01   8.26E-04   4.45E-06   5.03E-10   1.91E-11   1.13E-11
  -166    -165    1.03E-01   8.26E-04   4.45E-06   5.03E-10   1.91E-11   1.13E-11
  -165    -164    1.03E-01   8.26E-04   4.45E-06   5.03E-10   1.91E-11   1.13E-11
  -164    -163    1.03E-01   8.26E-04   4.45E-06   5.03E-10   1.91E-11   1.13E-11
  -163    -162    1.03E-01   8.26E-04   4.45E-06   5.03E-10   1.91E-11   1.13E-11
  -162    -161    1.03E-01   8.26E-04   4.45E-06   5.03E-10   1.91E-11   1.13E-11
  -161    -160    1.03E-01   8.26E-04   4.45E-06   5.03E-10   1.91E-11   1.13E-11
  -160    -159    1.03E-01   8.26E-04   4.45E-06   5.03E-10   1.91E-11   1.13E-11
  -159    -158    1.03E-01   8.26E-04   4.45E-06   5.03E-10   1.91E-11   1.13E-11
  -158    -157    1.03E-01   8.26E-04   4.45E-06   5.03E-10   1.91E-11   1.13E-11
  -157    -156    1.03E-01   8.26E-04   4.45E-06   5.03E-10   1.91E-11   1.13E-11
  -156    -155    1.03E-01   8.26E-04   4.45E-06   5.03E-10   1.91E-11   1.13E-11
  -155    -154    1.03E-01   8.26E-04   4.45E-06   5.03E-10   1.91E-11   1.13E-11
  -154    -153    1.03E-01   8.26E-04   4.45E-06   5.03E-10   1.91E-11   1.13E-11
  -153    -152    1.03E-01   8.26E-04   4.45E-06   5.03E-10   1.91E-11   1.13E-11
  -152    -151    1.03E-01   8.26E-04   4.45E-06   5.03E-10   1.91E-11   1.13E-11
  -151    -150    1.03E-01   8.26E-04   4.45E-06   5.03E-10   1.91E-11   1.13E-11
  -150    -149    1.24E-01   1.28E-03   6.57E-06   5.49E-10   1.97E-11   1.06E-11
  -149    -148    1.24E-01   1.28E-03   6.57E-06   5.49E-10   1.97E-11   1.06E-11
  -148    -147    1.24E-01   1.28E-03   6.57E-06   5.49E-10   1.97E-11   1.06E-11
  -147    -146    1.24E-01   1.28E-03   6.57E-06   5.49E-10   1.97E-11   1.06E-11
  -146    -145    1.24E-01   1.28E-03   6.57E-06   5.49E-10   1.97E-11   1.06E-11
  -145    -144    1.24E-01   1.28E-03   6.57E-06   5.49E-10   1.97E-11   1.06E-11
  -144    -143    1.24E-01   1.28E-03   6.57E-06   5.49E-10   1.97E-11   1.06E-11
  -143    -142    1.24E-01   1.28E-03   6.57E-06   5.49E-10   1.97E-11   1.06E-11
  -142    -141    1.24E-01   1.28E-03   6.57E-06   5.49E-10   1.97E-11   1.06E-11
  -141    -140    1.24E-01   1.28E-03   6.57E-06   5.49E-10   1.97E-11   1.06E-11
  -140    -139    1.24E-01   1.28E-03   6.57E-06   5.49E-10   1.97E-11   1.06E-11
  -139    -138    1.24E-01   1.28E-03   6.57E-06   5.49E-10   1.97E-11   1.06E-11
  -138    -137    1.24E-01   1.28E-03   6.57E-06   5.49E-10   1.97E-11   1.06E-11
  -137    -136    1.24E-01   1.28E-03   6.57E-06   5.49E-10   1.97E-11   1.06E-11
  -136    -135    1.24E-01   1.28E-03   6.57E-06   5.49E-10   1.97E-11   1.06E-11
  -135    -134    1.24E-01   1.28E-03   6.57E-06   5.49E-10   1.97E-11   1.06E-11
  -134    -133    1.24E-01   1.28E-03   6.57E-06   5.49E-10   1.97E-11   1.06E-11
  -133    -132    1.24E-01   1.28E-03   6.57E-06   5.49E-10   1.97E-11   1.06E-11
  -132    -131    1.24E-01   1.28E-03   6.57E-06   5.49E-10   1.97E-11   1.06E-11
  -131    -130    1.24E-01   1.28E-03   6.57E-06   5.49E-10   1.97E-11   1.06E-11
  -130    -129    1.24E-01   1.28E-03   6.57E-06   5.49E-10   1.97E-11   1.06E-11
  -129    -128    1.24E-01   1.28E-03   6.57E-06   5.49E-10   1.97E-11   1.06E-11
  -128    -127    1.24E-01   1.28E-03   6.57E-06   5.49E-10   1.97E-11   1.06E-11
  -127    -126    1.24E-01   1.28E-03   6.57E-06   5.49E-10   1.97E-11   1.06E-11
  -126    -125    1.24E-01   1.28E-03   6.57E-06   5.49E-10   1.97E-11   1.06E-11
  -125    -124    1.24E-01   1.28E-03   6.57E-06   5.49E-10   1.97E-11   1.06E-11
