 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/deg)
  Year: 2027  Perigee Altitude =    283.065  Apogee Altitude =   283.433  inc =   51.62
 *
 *
 *
 *
 *
 *
 *
  Az 1    Az 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          5.84E-02   4.48E-04   2.81E-06   5.87E-11   1.02E-11   7.48E-12
   Max.:          9.56E+00   1.30E-02   9.07E-05   7.93E-09   6.54E-10   2.91E-10
 ------  ------   --------   --------   --------   --------   --------   --------  
  -180    -179    5.84E-02   4.48E-04   2.81E-06   5.87E-11   1.02E-11   7.61E-12
  -179    -178    5.84E-02   4.48E-04   2.81E-06   5.87E-11   1.02E-11   7.61E-12
  -178    -177    5.84E-02   4.48E-04   2.81E-06   5.87E-11   1.02E-11   7.61E-12
  -177    -176    5.84E-02   4.48E-04   2.81E-06   5.87E-11   1.02E-11   7.61E-12
  -176    -175    5.84E-02   4.48E-04   2.81E-06   5.87E-11   1.02E-11   7.61E-12
  -175    -174    5.84E-02   4.48E-04   2.81E-06   5.87E-11   1.02E-11   7.61E-12
  -174    -173    5.84E-02   4.48E-04   2.81E-06   5.87E-11   1.02E-11   7.61E-12
  -173    -172    5.84E-02   4.48E-04   2.81E-06   5.87E-11   1.02E-11   7.61E-12
  -172    -171    5.84E-02   4.48E-04   2.81E-06   5.87E-11   1.02E-11   7.61E-12
  -171    -170    5.84E-02   4.48E-04   2.81E-06   5.87E-11   1.02E-11   7.61E-12
  -170    -169    5.84E-02   4.48E-04   2.81E-06   5.87E-11   1.02E-11   7.61E-12
  -169    -168    5.84E-02   4.48E-04   2.81E-06   5.87E-11   1.02E-11   7.61E-12
  -168    -167    5.84E-02   4.48E-04   2.81E-06   5.87E-11   1.02E-11   7.61E-12
  -167    -166    5.84E-02   4.48E-04   2.81E-06   5.87E-11   1.02E-11   7.61E-12
  -166    -165    5.84E-02   4.48E-04   2.81E-06   5.87E-11   1.02E-11   7.61E-12
  -165    -164    5.84E-02   4.48E-04   2.81E-06   5.87E-11   1.02E-11   7.61E-12
  -164    -163    5.84E-02   4.48E-04   2.81E-06   5.87E-11   1.02E-11   7.61E-12
  -163    -162    5.84E-02   4.48E-04   2.81E-06   5.87E-11   1.02E-11   7.61E-12
  -162    -161    5.84E-02   4.48E-04   2.81E-06   5.87E-11   1.02E-11   7.61E-12
  -161    -160    5.84E-02   4.48E-04   2.81E-06   5.87E-11   1.02E-11   7.61E-12
  -160    -159    5.84E-02   4.48E-04   2.81E-06   5.87E-11   1.02E-11   7.61E-12
