 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/kps)
  Year: 2026  Perigee Altitude =    413.000  Apogee Altitude =   422.000  inc =   51.64
 *
 *
 *
 *
 *
 *
 *
   X_NE     Y_NE     X_SE     Y_SE     X_SW     Y_SW     X_NW     Y_NW     X-mid    Y-mid   >10um      >100um     >1mm       >1cm       >10cm      >1m
 -------  -------  -------  -------  -------  -------  -------  -------  -------  -------   --------   --------   --------   --------   --------   --------  
   Min.:                                                                                    2.90E-08   6.74E-11   3.82E-13   4.61E-18   9.35E-19   7.26E-19
   Max.:                                                                                    8.54E-01   1.74E-03   6.24E-06   1.47E-09   1.88E-10   8.15E-11
 -------  -------  -------  -------  -------  -------  -------  -------  -------  -------   --------   --------   --------   --------   --------   --------  
  -12.71   -89.77    -0.00   -90.00    -0.00   -90.00   -12.78   -89.77   -10.12   -89.86   3.30E-08   7.59E-11   3.82E-13   4.61E-18   9.35E-19   1.00E-99
  -20.17   -89.43   -12.71   -89.77   -12.78   -89.77   -20.28   -89.43   -17.30   -89.58   9.89E-08   2.28E-10   1.14E-12   1.38E-17   2.80E-18   1.00E-99
  -26.40   -89.02   -20.17   -89.43   -20.28   -89.43   -26.55   -89.02   -23.76   -89.21   1.65E-07   3.79E-10   1.91E-12   2.30E-17   4.67E-18   1.00E-99
  -31.95   -88.56   -26.40   -89.02   -26.55   -89.02   -32.12   -88.56   -29.52   -88.77   2.31E-07   5.31E-10   2.67E-12   3.23E-17   6.54E-18   1.00E-99
  -37.03   -88.05   -31.95   -88.56   -32.12   -88.56   -37.23   -88.05   -34.77   -88.30   2.96E-07   6.82E-10   3.43E-12   4.15E-17   8.41E-18   1.00E-99
  -41.76   -87.52   -37.03   -88.05   -37.23   -88.05   -41.99   -87.52   -39.65   -87.78   3.62E-07   8.34E-10   4.19E-12   5.06E-17   1.03E-17   1.00E-99
  -46.21   -86.95   -41.76   -87.52   -41.99   -87.52   -46.47   -86.95   -44.22   -87.23   4.28E-07   9.85E-10   4.95E-12   5.98E-17   1.21E-17   1.00E-99
  -50.44   -86.35   -46.21   -86.95   -46.47   -86.95   -50.72   -86.35   -48.56   -86.64   4.93E-07   1.14E-09   5.71E-12   6.90E-17   1.40E-17   1.00E-99
