 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr)
  Year: 2027  Perigee Altitude =    283.065  Apogee Altitude =   283.433  inc =   51.62
 *
 *
 *
 *
 *
 *
 *
  Size (m)   Flux       -Sigma     +Sigma
  --------   --------   --------   --------
  1.00E-05   1.32E+03   1.64E+02   1.64E+02
  1.02E-05   1.23E+03   1.53E+02   1.53E+02
  1.05E-05   1.15E+03   1.43E+02   1.43E+02
  1.07E-05   1.08E+03   1.33E+02   1.33E+02
  1.10E-05   1.01E+03   1.24E+02   1.24E+02
  1.12E-05   9.41E+02   1.16E+02   1.16E+02
  1.15E-05   8.80E+02   1.08E+02   1.08E+02
  1.17E-05   8.23E+02   1.01E+02   1.01E+02
  1.20E-05   7.70E+02   9.38E+01   9.38E+01
  1.23E-05   7.20E+02   8.75E+01   8.75E+01
  1.26E-05   6.73E+02   8.16E+01   8.16E+01
  1.29E-05   6.30E+02   7.61E+01   7.61E+01
  1.32E-05   5.89E+02   7.10E+01   7.09E+01
  1.35E-05   5.51E+02   6.62E+01   6.62E+01
  1.38E-05   5.16E+02   6.17E+01   6.17E+01
  1.41E-05   4.82E+02   5.76E+01   5.76E+01
  1.45E-05   4.51E+02   5.37E+01   5.37E+01
  1.48E-05   4.22E+02   5.01E+01   5.01E+01
  1.51E-05   3.95E+02   4.67E+01   4.67E+01
  1.55E-05   3.70E+02   4.36E+01   4.36E+01
  1.58E-05   3.46E+02   4.07E+01   4.07E+01
  1.62E-05   3.24E+02   3.79E+01   3.79E+01
  1.66E-05   3.03E+02   3.54E+01   3.54E+01
  1.70E-05   2.83E+02   3.30E+01   3.30E+01
  1.74E-05   2.65E+02   3.08E+01   3.08E+01
  1.78E-05   2.48E+02   2.88E+01   2.87E+01
  1.82E-05   2.32E+02   2.68E+01   2.68E+01
  1.86E-05   2.17E+02   2.50E+01   2.50E+01
  1.91E-05   2.03E+02   2.34E+01   2.34E+01
  1.95E-05   1.90E+02   2.18E+01   2.18E+01
  2.00E-05   1.78E+02   2.04E+01   2.04E+01
  2.04E-05   1.67E+02   1.90E+01   1.90E+01
  2.09E-05   1.56E+02   1.77E+01   1.77E+01
  2.14E-05   1.46E+02   1.66E+01   1.65E+01
  2.19E-05   1.37E+02   1.55E+01   1.54E+01
  2.24E-05   1.28E+02   1.44E+01   1.44E+01
  2.29E-05   1.20E+02   1.35E+01   1.35E+01
  2.34E-05   1.12E+02   1.26E+01   1.26E+01
  2.40E-05   1.05E+02   1.17E+01   1.17E+01
  2.45E-05   9.87E+01   1.10E+01   1.10E+01
  2.51E-05   9.24E+01   1.02E+01   1.02E+01
  2.57E-05   8.65E+01   9.56E+00   9.55E+00
  2.63E-05   8.11E+01   8.92E+00   8.92E+00
  2.69E-05   7.59E+01   8.33E+00   8.33E+00
  2.75E-05   7.11E+01   7.78E+00   7.78E+00
