 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/kps)
  Year: 2026  Perigee Altitude =    413.000  Apogee Altitude =   422.000  inc =   51.64
 *
 *
 *
 *
 *
 *
 *
 Vel 1   Vel 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          7.58E-01   1.12E-03   1.31E-06   9.56E-10   1.23E-11   6.43E-12
   Max.:          4.85E+02   8.91E-01   3.21E-03   8.47E-07   1.10E-07   4.83E-08
 ------  ------   --------   --------   --------   --------   --------   --------  
   0.0     0.1    1.68E+01   6.10E-02   3.08E-04   2.58E-08   2.94E-09   1.20E-09
   0.1     0.2    1.68E+01   6.10E-02   3.08E-04   2.58E-08   2.94E-09   1.20E-09
   0.2     0.3    1.68E+01   6.10E-02   3.08E-04   2.58E-08   2.94E-09   1.20E-09
   0.3     0.4    1.68E+01   6.10E-02   3.08E-04   2.58E-08   2.94E-09   1.20E-09
   0.4     0.5    1.68E+01   6.10E-02   3.08E-04   2.58E-08   2.94E-09   1.20E-09
   0.5     0.6    1.68E+01   6.10E-02   3.08E-04   2.58E-08   2.94E-09   1.20E-09
   0.6     0.7    1.68E+01   6.10E-02   3.08E-04   2.58E-08   2.94E-09   1.20E-09
   0.7     0.8    1.68E+01   6.10E-02   3.08E-04   2.58E-08   2.94E-09   1.20E-09
   0.8     0.9    1.68E+01   6.10E-02   3.08E-04   2.58E-08   2.94E-09   1.20E-09
   0.9     1.0    1.68E+01   6.10E-02   3.08E-04   2.58E-08   2.94E-09   1.20E-09
   1.0     1.1    1.68E+01   6.10E-02   3.08E-04   2.58E-08   2.94E-09   1.20E-09
   1.1     1.2    1.68E+01   6.10E-02   3.08E-04   2.58E-08   2.94E-09   1.20E-09
   1.2     1.3    1.68E+01   6.10E-02   3.08E-04   2.58E-08   2.94E-09   1.20E-09
   1.3     1.4    1.68E+01   6.10E-02   3.08E-04   2.58E-08   2.94E-09   1.20E-09
   1.4     1.5    1.68E+01   6.10E-02   3.08E-04   2.58E-08   2.94E-09   1.20E-09
   1.5     1.6    1.68E+01   6.10E-02   3.08E-04   2.58E-08   2.94E-09   1.20E-09
   1.6     1.7    1.68E+01   6.10E-02   3.08E-04   2.58E-08   2.94E-09   1.20E-09
   1.7     1.8    1.68E+01   6.10E-02   3.08E-04   2.58E-08   2.94E-09   1.20E-09
   1.8     1.9    1.68E+01   6.10E-02   3.08E-04   2.58E-08   2.94E-09   1.20E-09
   1.9     2.0    1.68E+01   6.10E-02   3.08E-04   2.58E-08   2.94E-09   1.20E-09
   2.0     2.1    6.24E+01   1.61E-01   6.78E-04   1.00E-07   8.85E-09   3.27E-09
   2.1     2.2    6.24E+01   1.61E-01   6.78E-04   1.00E-07   8.85E-09   3.27E-09
   2.2     2.3    6.24E+01   1.61E-01   6.78E-04   1.00E-07   8.85E-09   3.27E-09
   2.3     2.4    6.24E+01   1.61E-01   6.78E-04   1.00E-07   8.85E-09   3.27E-09
   2.4     2.5    6.24E+01   1.61E-01   6.78E-04   1.00E-07   8.85E-09   3.27E-09
   2.5     2.6    6.24E+01   1.61E-01   6.78E-04   1.00E-07   8.85E-09   3.27E-09
   2.6     2.7    6.24E+01   1.61E-01   6.78E-04   1.00E-07   8.85E-09   3.27E-09
   2.7     2.8    6.24E+01   1.61E-01   6.78E-04   1.00E-07   8.85E-09   3.27E-09
   2.8     2.9    6.24E+01   1.61E-01   6.78E-04   1.00E-07   8.85E-09   3.27E-09
   2.9     3.0    6.24E+01   1.61E-01   6.78E-04   1.00E-07   8.85E-09   3.27E-09
   3.0     3.1    6.24E+01   1.61E-01   6.78E-04   1.00E-07   8.85E-09   3.27E-09
   3.1     3.2    6.24E+01   1.61E-01   6.78E-04   1.00E-07   8.85E-09   3.27E-09
