 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr)
  Year: 2026  Perigee Altitude =    413.000  Apogee Altitude =   422.000  inc =   51.64
 *
 *
 *
 *
 *
 *
 *
  Size (m)   Flux       -Sigma     +Sigma
  --------   --------   --------   --------
  1.00E-05   3.40E+03   3.84E+02   3.84E+02
  1.02E-05   3.19E+03   3.57E+02   3.57E+02
  1.05E-05   2.99E+03   3.33E+02   3.33E+02
  1.07E-05   2.80E+03   3.10E+02   3.10E+02
  1.10E-05   2.62E+03   2.89E+02   2.89E+02
  1.12E-05   2.46E+03   2.69E+02   2.69E+02
  1.15E-05   2.30E+03   2.51E+02   2.51E+02
  1.17E-05   2.16E+03   2.34E+02   2.34E+02
  1.20E-05   2.03E+03   2.18E+02   2.18E+02
  1.23E-05   1.90E+03   2.03E+02   2.03E+02
  1.26E-05   1.78E+03   1.89E+02   1.89E+02
  1.29E-05   1.67E+03   1.76E+02   1.76E+02
  1.32E-05   1.57E+03   1.64E+02   1.64E+02
  1.35E-05   1.47E+03   1.53E+02   1.53E+02
  1.38E-05   1.38E+03   1.43E+02   1.43E+02
  1.41E-05   1.29E+03   1.33E+02   1.33E+02
  1.45E-05   1.21E+03   1.24E+02   1.24E+02
  1.48E-05   1.14E+03   1.16E+02   1.16E+02
  1.51E-05   1.07E+03   1.08E+02   1.08E+02
  1.55E-05   1.00E+03   1.00E+02   1.00E+02
  1.58E-05   9.40E+02   9.37E+01   9.36E+01
  1.62E-05   8.82E+02   8.73E+01   8.73E+01
  1.66E-05   8.28E+02   8.15E+01   8.14E+01
  1.70E-05   7.78E+02   7.60E+01   7.60E+01
  1.74E-05   7.30E+02   7.08E+01   7.08E+01
  1.78E-05   6.85E+02   6.61E+01   6.61E+01
  1.82E-05   6.44E+02   6.16E+01   6.16E+01
  1.86E-05   6.04E+02   5.75E+01   5.75E+01
  1.91E-05   5.68E+02   5.36E+01   5.36E+01
  1.95E-05   5.33E+02   5.00E+01   5.00E+01
  2.00E-05   5.01E+02   4.67E+01   4.67E+01
  2.04E-05   4.70E+02   4.36E+01   4.36E+01
  2.09E-05   4.42E+02   4.07E+01   4.07E+01
  2.14E-05   4.15E+02   3.79E+01   3.79E+01
  2.19E-05   3.90E+02   3.54E+01   3.54E+01
  2.24E-05   3.67E+02   3.30E+01   3.30E+01
  2.29E-05   3.45E+02   3.08E+01   3.08E+01
  2.34E-05   3.24E+02   2.88E+01   2.88E+01
  2.40E-05   3.04E+02   2.69E+01   2.69E+01
  2.45E-05   2.86E+02   2.51E+01   2.51E+01
  2.51E-05   2.69E+02   2.34E+01   2.34E+01
  2.57E-05   2.53E+02   2.19E+01   2.19E+01
  2.63E-05   2.38E+02   2.04E+01   2.04E+01
  2.69E-05   2.24E+02   1.91E+01   1.91E+01
  2.75E-05   2.10E+02   1.78E+01   1.78E+01
  2.82E-05   1.98E+02   1.66E+01   1.66E+01
  2.88E-05   1.86E+02   1.55E+01   1.55E+01
  2.95E-05   1.75E+02   1.45E+01   1.45E+01
  3.02E-05   1.65E+02   1.35E+01   1.35E+01
  3.09E-05   1.55E+02   1.26E+01   1.26E+01
  3.16E-05   1.46E+02   1.18E+01   1.18E+01
  3.24E-05   1.37E+02   1.12E+01   1.12E+01
  3.31E-05   1.29E+02   1.06E+01   1.06E+01
  3.39E-05   1.22E+02   1.01E+01   1.01E+01
  3.47E-05   1.14E+02   9.55E+00   9.55E+00
  3.55E-05   1.08E+02   9.06E+00   9.06E+00
  3.63E-05   1.01E+02   8.59E+00   8.59E+00
  3.72E-05   9.56E+01   8.15E+00   8.15E+00
  3.80E-05   9.00E+01   7.73E+00   7.73E+00
  3.89E-05   8.48E+01   7.33E+00   7.33E+00
  3.98E-05   7.99E+01   6.96E+00   6.96E+00
  4.07E-05   7.53E+01   6.60E+00   6.60E+00
  4.17E-05   7.10E+01   6.27E+00   6.27E+00
  4.27E-05   6.69E+01   5.95E+00   5.95E+00
  4.37E-05   6.30E+01   5.64E+00   5.64E+00
  4.47E-05   5.94E+01   5.35E+00   5.35E+00
  4.57E-05   5.60E+01   5.08E+00   5.08E+00
  4.68E-05   5.28E+01   4.82E+00   4.82E+00
  4.79E-05   4.98E+01   4.58E+00   4.58E+00
  4.90E-05   4.69E+01   4.34E+00   4.34E+00
  5.01E-05   4.43E+01   4.12E+00   4.12E+00
  5.13E-05   4.17E+01   3.91E+00   3.91E+00
  5.25E-05   3.93E+01   3.71E+00   3.71E+00
  5.37E-05   3.71E+01   3.53E+00   3.53E+00
  5.50E-05   3.50E+01   3.35E+00   3.35E+00
  5.62E-05   3.30E+01   3.18E+00   3.18E+00
  5.75E-05   3.11E+01   3.01E+00   3.01E+00
  5.89E-05   2.93E+01   2.86E+00   2.86E+00
  6.03E-05   2.77E+01   2.71E+00   2.71E+00
  6.17E-05   2.61E+01   2.58E+00   2.58E+00
  6.31E-05   2.46E+01   2.44E+00   2.44E+00
  6.46E-05   2.32E+01   2.32E+00   2.32E+00
  6.61E-05   2.19E+01   2.20E+00   2.20E+00
  6.76E-05   2.06E+01   2.09E+00   2.09E+00
  6.92E-05   1.95E+01   1.98E+00   1.98E+00
  7.08E-05   1.84E+01   1.88E+00   1.88E+00
  7.24E-05   1.73E+01   1.78E+00   1.78E+00
  7.41E-05   1.63E+01   1.69E+00   1.69E+00
  7.59E-05   1.54E+01   1.61E+00   1.60E+00
  7.76E-05   1.45E+01   1.52E+00   1.52E+00
  7.94E-05   1.37E+01   1.44E+00   1.44E+00
  8.13E-05   1.29E+01   1.37E+00   1.37E+00
  8.32E-05   1.22E+01   1.30E+00   1.30E+00
  8.51E-05   1.15E+01   1.23E+00   1.23E+00
  8.71E-05   1.08E+01   1.17E+00   1.17E+00
  8.91E-05   1.02E+01   1.11E+00   1.11E+00
  9.12E-05   9.60E+00   1.05E+00   1.05E+00
  9.33E-05   9.05E+00   9.94E-01   9.94E-01
  9.55E-05   8.53E+00   9.42E-01   9.42E-01
  9.77E-05   8.04E+00   8.93E-01   8.93E-01
  1.00E-04   7.58E+00   8.46E-01   8.46E-01
  1.02E-04   7.14E+00   8.18E-01   8.18E-01
  1.05E-04   6.73E+00   7.91E-01   7.91E-01
  1.07E-04   6.35E+00   7.64E-01   7.64E-01
  1.10E-04   5.98E+00   7.38E-01   7.38E-01
  1.12E-04   5.64E+00   7.13E-01   7.13E-01
  1.15E-04   5.32E+00   6.88E-01   6.88E-01
  1.17E-04   5.02E+00   6.64E-01   6.64E-01
  1.20E-04   4.73E+00   6.41E-01   6.41E-01
  1.23E-04   4.46E+00   6.18E-01   6.18E-01
  1.26E-04   4.21E+00   5.96E-01   5.96E-01
  1.29E-04   3.97E+00   5.75E-01   5.75E-01
  1.32E-04   3.75E+00   5.54E-01   5.54E-01
  1.35E-04   3.53E+00   5.34E-01   5.33E-01
  1.38E-04   3.34E+00   5.14E-01   5.14E-01
  1.41E-04   3.15E+00   4.95E-01   4.95E-01
  1.45E-04   2.97E+00   4.76E-01   4.76E-01
  1.48E-04   2.80E+00   4.58E-01   4.58E-01
  1.51E-04   2.64E+00   4.41E-01   4.41E-01
  1.55E-04   2.50E+00   4.24E-01   4.24E-01
  1.58E-04   2.35E+00   4.08E-01   4.07E-01
  1.62E-04   2.22E+00   3.92E-01   3.91E-01
  1.66E-04   2.10E+00   3.76E-01   3.76E-01
  1.70E-04   1.98E+00   3.61E-01   3.61E-01
  1.74E-04   1.87E+00   3.47E-01   3.47E-01
  1.78E-04   1.76E+00   3.33E-01   3.33E-01
  1.82E-04   1.66E+00   3.20E-01   3.19E-01
  1.86E-04   1.57E+00   3.07E-01   3.06E-01
  1.91E-04   1.48E+00   2.94E-01   2.94E-01
  1.95E-04   1.40E+00   2.82E-01   2.82E-01
  2.00E-04   1.32E+00   2.70E-01   2.70E-01
  2.04E-04   1.24E+00   2.59E-01   2.59E-01
  2.09E-04   1.17E+00   2.48E-01   2.48E-01
  2.14E-04   1.11E+00   2.38E-01   2.37E-01
  2.19E-04   1.05E+00   2.27E-01   2.27E-01
  2.24E-04   9.86E-01   2.18E-01   2.17E-01
  2.29E-04   9.30E-01   2.08E-01   2.08E-01
  2.34E-04   8.78E-01   1.99E-01   1.99E-01
  2.40E-04   8.28E-01   1.91E-01   1.90E-01
  2.45E-04   7.81E-01   1.82E-01   1.82E-01
  2.51E-04   7.37E-01   1.74E-01   1.74E-01
  2.57E-04   6.95E-01   1.67E-01   1.66E-01
  2.63E-04   6.56E-01   1.59E-01   1.59E-01
  2.69E-04   6.19E-01   1.52E-01   1.52E-01
  2.75E-04   5.84E-01   1.45E-01   1.45E-01
  2.82E-04   5.51E-01   1.39E-01   1.39E-01
  2.88E-04   5.19E-01   1.33E-01   1.32E-01
  2.95E-04   4.90E-01   1.27E-01   1.26E-01
  3.02E-04   4.62E-01   1.21E-01   1.21E-01
  3.09E-04   4.36E-01   1.15E-01   1.15E-01
  3.16E-04   4.11E-01   1.10E-01   1.10E-01
  3.24E-04   3.88E-01   1.06E-01   1.06E-01
  3.31E-04   3.67E-01   1.03E-01   1.02E-01
  3.39E-04   3.46E-01   9.92E-02   9.87E-02
  3.47E-04   3.27E-01   9.59E-02   9.54E-02
  3.55E-04   3.10E-01   9.27E-02   9.22E-02
  3.63E-04   2.93E-01   8.97E-02   8.92E-02
  3.72E-04   2.77E-01   8.68E-02   8.63E-02
  3.80E-04   2.63E-01   8.40E-02   8.35E-02
  3.89E-04   2.49E-01   8.14E-02   8.08E-02
  3.98E-04   2.36E-01   7.88E-02   7.83E-02
  4.07E-04   2.24E-01   7.64E-02   7.58E-02
  4.17E-04   2.13E-01   7.40E-02   7.34E-02
  4.27E-04   2.02E-01   7.17E-02   7.11E-02
  4.37E-04   1.92E-01   6.95E-02   6.89E-02
  4.47E-04   1.83E-01   6.74E-02   6.68E-02
  4.57E-04   1.74E-01   6.54E-02   6.47E-02
  4.68E-04   1.66E-01   6.34E-02   6.27E-02
  4.79E-04   1.58E-01   6.15E-02   6.08E-02
  4.90E-04   1.50E-01   5.96E-02   5.89E-02
  5.01E-04   1.43E-01   5.78E-02   5.71E-02
  5.13E-04   1.36E-01   5.61E-02   5.53E-02
  5.25E-04   1.30E-01   5.44E-02   5.36E-02
  5.37E-04   1.24E-01   5.27E-02   5.19E-02
  5.50E-04   1.18E-01   5.11E-02   5.03E-02
  5.62E-04   1.13E-01   4.96E-02   4.87E-02
  5.75E-04   1.08E-01   4.80E-02   4.71E-02
  5.89E-04   1.03E-01   4.65E-02   4.56E-02
  6.03E-04   9.83E-02   4.50E-02   4.41E-02
  6.17E-04   9.38E-02   4.36E-02   4.27E-02
  6.31E-04   8.95E-02   4.22E-02   4.12E-02
  6.46E-04   8.53E-02   4.08E-02   3.98E-02
  6.61E-04   8.14E-02   3.94E-02   3.85E-02
  6.76E-04   7.76E-02   3.81E-02   3.71E-02
  6.92E-04   7.39E-02   3.67E-02   3.57E-02
  7.08E-04   7.04E-02   3.54E-02   3.44E-02
  7.24E-04   6.70E-02   3.41E-02   3.31E-02
  7.41E-04   6.37E-02   3.28E-02   3.18E-02
  7.59E-04   6.06E-02   3.16E-02   3.06E-02
  7.76E-04   5.75E-02   3.03E-02   2.93E-02
  7.94E-04   5.46E-02   2.91E-02   2.81E-02
  8.13E-04   5.17E-02   2.79E-02   2.69E-02
  8.32E-04   4.90E-02   2.67E-02   2.57E-02
