 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/kps)
  Year: 2027  Perigee Altitude =    274.780  Apogee Altitude =   279.999  inc =   51.62
 *
 *
 *
 *
 *
 *
 *
 Vel 1   Vel 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          1.04E-12   1.04E-12   1.04E-12   2.68E-10   9.73E-12   5.97E-12
   Max.:          1.67E+02   2.00E-01   1.62E-03   9.95E-08   9.48E-09   4.03E-09
 ------  ------   --------   --------   --------   --------   --------   --------  
   0.0     0.1    6.16E+00   2.45E-02   1.98E-04   3.30E-09   7.98E-10   4.67E-10
   0.1     0.2    6.16E+00   2.45E-02   1.98E-04   3.30E-09   7.98E-10   4.67E-10
   0.2     0.3    6.16E+00   2.45E-02   1.98E-04   3.30E-09   7.98E-10   4.67E-10
   0.3     0.4    6.16E+00   2.45E-02   1.98E-04   3.30E-09   7.98E-10   4.67E-10
   0.4     0.5    6.16E+00   2.45E-02   1.98E-04   3.30E-09   7.98E-10   4.67E-10
   0.5     0.6    6.16E+00   2.45E-02   1.98E-04   3.30E-09   7.98E-10   4.67E-10
   0.6     0.7    6.16E+00   2.45E-02   1.98E-04   3.30E-09   7.98E-10   4.67E-10
   0.7     0.8    6.16E+00   2.45E-02   1.98E-04   3.30E-09   7.98E-10   4.67E-10
   0.8     0.9    6.16E+00   2.45E-02   1.98E-04   3.30E-09   7.98E-10   4.67E-10
   0.9     1.0    6.16E+00   2.45E-02   1.98E-04   3.30E-09   7.98E-10   4.67E-10
   1.0     1.1    6.16E+00   2.45E-02   1.98E-04   3.30E-09   7.98E-10   4.67E-10
   1.1     1.2    6.16E+00   2.45E-02   1.98E-04   3.30E-09   7.98E-10   4.67E-10
   1.2     1.3    6.16E+00   2.45E-02   1.98E-04   3.30E-09   7.98E-10   4.67E-10
   1.3     1.4    6.16E+00   2.45E-02   1.98E-04   3.30E-09   7.98E-10   4.67E-10
   1.4     1.5    6.16E+00   2.45E-02   1.98E-04   3.30E-09   7.98E-10   4.67E-10
   1.5     1.6    6.16E+00   2.45E-02   1.98E-04   3.30E-09   7.98E-10   4.67E-10
   1.6     1.7    6.16E+00   2.45E-02   1.98E-04   3.30E-09   7.98E-10   4.67E-10
   1.7     1.8    6.16E+00   2.45E-02   1.98E-04   3.30E-09   7.98E-10   4.67E-10
   1.8     1.9    6.16E+00   2.45E-02   1.98E-04   3.30E-09   7.98E-10   4.67E-10
   1.9     2.0    6.16E+00   2.45E-02   1.98E-04   3.30E-09   7.98E-10   4.67E-10
   2.0     2.1    2.21E+01   4.74E-02   2.64E-04   1.60E-08   2.10E-09   1.01E-09
   2.1     2.2    2.21E+01   4.74E-02   2.64E-04   1.60E-08   2.10E-09   1.01E-09
