 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/deg)
  Year: 2028  Perigee Altitude =    328.132  Apogee Altitude =   331.665  inc =   51.63
 *
 *
 *
 *
 *
 *
 *
  Az 1    Az 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          1.07E-01   9.48E-04   8.80E-06   2.19E-10   2.23E-11   1.59E-11
   Max.:          1.89E+01   2.42E-02   1.39E-04   1.40E-08   1.47E-09   7.42E-10
 ------  ------   --------   --------   --------   --------   --------   --------  
  -180    -179    1.07E-01   9.48E-04   8.80E-06   2.19E-10   2.70E-11   2.08E-11
  -179    -178    1.07E-01   9.48E-04   8.80E-06   2.19E-10   2.70E-11   2.08E-11
  -178    -177    1.07E-01   9.48E-04   8.80E-06   2.19E-10   2.70E-11   2.08E-11
  -177    -176    1.07E-01   9.48E-04   8.80E-06   2.19E-10   2.70E-11   2.08E-11
  -176    -175    1.07E-01   9.48E-04   8.80E-06   2.19E-10   2.70E-11   2.08E-11
  -175    -174    1.07E-01   9.48E-04   8.80E-06   2.19E-10   2.70E-11   2.08E-11
  -174    -173    1.07E-01   9.48E-04   8.80E-06   2.19E-10   2.70E-11   2.08E-11
  -173    -172    1.07E-01   9.48E-04   8.80E-06   2.19E-10   2.70E-11   2.08E-11
  -172    -171    1.07E-01   9.48E-04   8.80E-06   2.19E-10   2.70E-11   2.08E-11
  -171    -170    1.07E-01   9.48E-04   8.80E-06   2.19E-10   2.70E-11   2.08E-11
  -170    -169    1.07E-01   9.48E-04   8.80E-06   2.19E-10   2.70E-11   2.08E-11
  -169    -168    1.07E-01   9.48E-04   8.80E-06   2.19E-10   2.70E-11   2.08E-11
  -168    -167    1.07E-01   9.48E-04   8.80E-06   2.19E-10   2.70E-11   2.08E-11
  -167    -166    1.07E-01   9.48E-04   8.80E-06   2.19E-10   2.70E-11   2.08E-11
  -166    -165    1.07E-01   9.48E-04   8.80E-06   2.19E-10   2.70E-11   2.08E-11
  -165    -164    1.07E-01   9.48E-04   8.80E-06   2.19E-10   2.70E-11   2.08E-11
  -164    -163    1.07E-01   9.48E-04   8.80E-06   2.19E-10   2.70E-11   2.08E-11
  -163    -162    1.07E-01   9.48E-04   8.80E-06   2.19E-10   2.70E-11   2.08E-11
  -162    -161    1.07E-01   9.48E-04   8.80E-06   2.19E-10   2.70E-11   2.08E-11
  -161    -160    1.07E-01   9.48E-04   8.80E-06   2.19E-10   2.70E-11   2.08E-11
  -160    -159    1.07E-01   9.48E-04   8.80E-06   2.19E-10   2.70E-11   2.08E-11
  -159    -158    1.07E-01   9.48E-04   8.80E-06   2.19E-10   2.70E-11   2.08E-11
  -158    -157    1.07E-01   9.48E-04   8.80E-06   2.19E-10   2.70E-11   2.08E-11
  -157    -156    1.07E-01   9.48E-04   8.80E-06   2.19E-10   2.70E-11   2.08E-11
  -156    -155    1.07E-01   9.48E-04   8.80E-06   2.19E-10   2.70E-11   2.08E-11
  -155    -154    1.07E-01   9.48E-04   8.80E-06   2.19E-10   2.70E-11   2.08E-11
  -154    -153    1.07E-01   9.48E-04   8.80E-06   2.19E-10   2.70E-11   2.08E-11
  -153    -152    1.07E-01   9.48E-04   8.80E-06   2.19E-10   2.70E-11   2.08E-11
  -152    -151    1.07E-01   9.48E-04   8.80E-06   2.19E-10   2.70E-11   2.08E-11
  -151    -150    1.07E-01   9.48E-04   8.80E-06   2.19E-10   2.70E-11   2.08E-11
  -150    -149    1.12E-01   1.16E-03   9.04E-06   2.63E-10   2.23E-11   1.59E-11
  -149    -148    1.12E-01   1.16E-03   9.04E-06   2.63E-10   2.23E-11   1.59E-11
  -148    -147    1.12E-01   1.16E-03   9.04E-06   2.63E-10   2.23E-11   1.59E-11
  -147    -146    1.12E-01   1.16E-03   9.04E-06   2.63E-10   2.23E-11   1.59E-11
  -146    -145    1.12E-01   1.16E-03   9.04E-06   2.63E-10   2.23E-11   1.59E-11
  -145    -144    1.12E-01   1.16E-03   9.04E-06   2.63E-10   2.23E-11   1.59E-11
  -144    -143    1.12E-01   1.16E-03   9.04E-06   2.63E-10   2.23E-11   1.59E-11
  -143    -142    1.12E-01   1.16E-03   9.04E-06   2.63E-10   2.23E-11   1.59E-11
  -142    -141    1.12E-01   1.16E-03   9.04E-06   2.63E-10   2.23E-11   1.59E-11
  -141    -140    1.12E-01   1.16E-03   9.04E-06   2.63E-10   2.23E-11   1.59E-11
  -140    -139    1.12E-01   1.16E-03   9.04E-06   2.63E-10   2.23E-11   1.59E-11
  -139    -138    1.12E-01   1.16E-03   9.04E-06   2.63E-10   2.23E-11   1.59E-11
  -138    -137    1.12E-01   1.16E-03   9.04E-06   2.63E-10   2.23E-11   1.59E-11
  -137    -136    1.12E-01   1.16E-03   9.04E-06   2.63E-10   2.23E-11   1.59E-11
  -136    -135    1.12E-01   1.16E-03   9.04E-06   2.63E-10   2.23E-11   1.59E-11
  -135    -134    1.12E-01   1.16E-03   9.04E-06   2.63E-10   2.23E-11   1.59E-11
  -134    -133    1.12E-01   1.16E-03   9.04E-06   2.63E-10   2.23E-11   1.59E-11
  -133    -132    1.12E-01   1.16E-03   9.04E-06   2.63E-10   2.23E-11   1.59E-11
  -132    -131    1.12E-01   1.16E-03   9.04E-06   2.63E-10   2.23E-11   1.59E-11
  -131    -130    1.12E-01   1.16E-03   9.04E-06   2.63E-10   2.23E-11   1.59E-11
  -130    -129    1.12E-01   1.16E-03   9.04E-06   2.63E-10   2.23E-11   1.59E-11
  -129    -128    1.12E-01   1.16E-03   9.04E-06   2.63E-10   2.23E-11   1.59E-11
  -128    -127    1.12E-01   1.16E-03   9.04E-06   2.63E-10   2.23E-11   1.59E-11
  -127    -126    1.12E-01   1.16E-03   9.04E-06   2.63E-10   2.23E-11   1.59E-11
  -126    -125    1.12E-01   1.16E-03   9.04E-06   2.63E-10   2.23E-11   1.59E-11
  -125    -124    1.12E-01   1.16E-03   9.04E-06   2.63E-10   2.23E-11   1.59E-11
  -124    -123    1.12E-01   1.16E-03   9.04E-06   2.63E-10   2.23E-11   1.59E-11
  -123    -122    1.12E-01   1.16E-03   9.04E-06   2.63E-10   2.23E-11   1.59E-11
  -122    -121    1.12E-01   1.16E-03   9.04E-06   2.63E-10   2.23E-11   1.59E-11
  -121    -120    1.12E-01   1.16E-03   9.04E-06   2.63E-10   2.23E-11   1.59E-11
  -120    -119    3.21E-01   2.55E-03   2.12E-05   2.02E-09   8.03E-11   4.59E-11
  -119    -118    3.21E-01   2.55E-03   2.12E-05   2.02E-09   8.03E-11   4.59E-11
  -118    -117    3.21E-01   2.55E-03   2.12E-05   2.02E-09   8.03E-11   4.59E-11
  -117    -116    3.21E-01   2.55E-03   2.12E-05   2.02E-09   8.03E-11   4.59E-11
  -116    -115    3.21E-01   2.55E-03   2.12E-05   2.02E-09   8.03E-11   4.59E-11
  -115    -114    3.21E-01   2.55E-03   2.12E-05   2.02E-09   8.03E-11   4.59E-11
  -114    -113    3.21E-01   2.55E-03   2.12E-05   2.02E-09   8.03E-11   4.59E-11
  -113    -112    3.21E-01   2.55E-03   2.12E-05   2.02E-09   8.03E-11   4.59E-11
  -112    -111    3.21E-01   2.55E-03   2.12E-05   2.02E-09   8.03E-11   4.59E-11
  -111    -110    3.21E-01   2.55E-03   2.12E-05   2.02E-09   8.03E-11   4.59E-11
  -110    -109    3.21E-01   2.55E-03   2.12E-05   2.02E-09   8.03E-11   4.59E-11
  -109    -108    3.21E-01   2.55E-03   2.12E-05   2.02E-09   8.03E-11   4.59E-11
  -108    -107    3.21E-01   2.55E-03   2.12E-05   2.02E-09   8.03E-11   4.59E-11
  -107    -106    3.21E-01   2.55E-03   2.12E-05   2.02E-09   8.03E-11   4.59E-11
  -106    -105    3.21E-01   2.55E-03   2.12E-05   2.02E-09   8.03E-11   4.59E-11
  -105    -104    3.21E-01   2.55E-03   2.12E-05   2.02E-09   8.03E-11   4.59E-11
  -104    -103    3.21E-01   2.55E-03   2.12E-05   2.02E-09   8.03E-11   4.59E-11
  -103    -102    3.21E-01   2.55E-03   2.12E-05   2.02E-09   8.03E-11   4.59E-11
  -102    -101    3.21E-01   2.55E-03   2.12E-05   2.02E-09   8.03E-11   4.59E-11
  -101    -100    3.21E-01   2.55E-03   2.12E-05   2.02E-09   8.03E-11   4.59E-11
  -100     -99    3.21E-01   2.55E-03   2.12E-05   2.02E-09   8.03E-11   4.59E-11
   -99     -98    3.21E-01   2.55E-03   2.12E-05   2.02E-09   8.03E-11   4.59E-11
   -98     -97    3.21E-01   2.55E-03   2.12E-05   2.02E-09   8.03E-11   4.59E-11
   -97     -96    3.21E-01   2.55E-03   2.12E-05   2.02E-09   8.03E-11   4.59E-11
   -96     -95    3.21E-01   2.55E-03   2.12E-05   2.02E-09   8.03E-11   4.59E-11
   -95     -94    3.21E-01   2.55E-03   2.12E-05   2.02E-09   8.03E-11   4.59E-11
   -94     -93    3.21E-01   2.55E-03   2.12E-05   2.02E-09   8.03E-11   4.59E-11
   -93     -92    3.21E-01   2.55E-03   2.12E-05   2.02E-09   8.03E-11   4.59E-11
   -92     -91    3.21E-01   2.55E-03   2.12E-05   2.02E-09   8.03E-11   4.59E-11
   -91     -90    3.21E-01   2.55E-03   2.12E-05   2.02E-09   8.03E-11   4.59E-11
   -90     -89    9.92E+00   2.09E-02   1.39E-04   1.40E-08   1.00E-09   5.59E-10
   -89     -88    9.92E+00   2.09E-02   1.39E-04   1.40E-08   1.00E-09   5.59E-10
   -88     -87    9.92E+00   2.09E-02   1.39E-04   1.40E-08   1.00E-09   5.59E-10
   -87     -86    9.92E+00   2.09E-02   1.39E-04   1.40E-08   1.00E-09   5.59E-10
   -86     -85    9.92E+00   2.09E-02   1.39E-04   1.40E-08   1.00E-09   5.59E-10
   -85     -84    9.92E+00   2.09E-02   1.39E-04   1.40E-08   1.00E-09   5.59E-10
   -84     -83    9.92E+00   2.09E-02   1.39E-04   1.40E-08   1.00E-09   5.59E-10
   -83     -82    9.92E+00   2.09E-02   1.39E-04   1.40E-08   1.00E-09   5.59E-10
   -82     -81    9.92E+00   2.09E-02   1.39E-04   1.40E-08   1.00E-09   5.59E-10
   -81     -80    9.92E+00   2.09E-02   1.39E-04   1.40E-08   1.00E-09   5.59E-10
   -80     -79    9.92E+00   2.09E-02   1.39E-04   1.40E-08   1.00E-09   5.59E-10
   -79     -78    9.92E+00   2.09E-02   1.39E-04   1.40E-08   1.00E-09   5.59E-10
   -78     -77    9.92E+00   2.09E-02   1.39E-04   1.40E-08   1.00E-09   5.59E-10
   -77     -76    9.92E+00   2.09E-02   1.39E-04   1.40E-08   1.00E-09   5.59E-10
   -76     -75    9.92E+00   2.09E-02   1.39E-04   1.40E-08   1.00E-09   5.59E-10
   -75     -74    9.92E+00   2.09E-02   1.39E-04   1.40E-08   1.00E-09   5.59E-10
   -74     -73    9.92E+00   2.09E-02   1.39E-04   1.40E-08   1.00E-09   5.59E-10
   -73     -72    9.92E+00   2.09E-02   1.39E-04   1.40E-08   1.00E-09   5.59E-10
   -72     -71    9.92E+00   2.09E-02   1.39E-04   1.40E-08   1.00E-09   5.59E-10
   -71     -70    9.92E+00   2.09E-02   1.39E-04   1.40E-08   1.00E-09   5.59E-10
   -70     -69    9.92E+00   2.09E-02   1.39E-04   1.40E-08   1.00E-09   5.59E-10
   -69     -68    9.92E+00   2.09E-02   1.39E-04   1.40E-08   1.00E-09   5.59E-10
   -68     -67    9.92E+00   2.09E-02   1.39E-04   1.40E-08   1.00E-09   5.59E-10
   -67     -66    9.92E+00   2.09E-02   1.39E-04   1.40E-08   1.00E-09   5.59E-10
   -66     -65    9.92E+00   2.09E-02   1.39E-04   1.40E-08   1.00E-09   5.59E-10
   -65     -64    9.92E+00   2.09E-02   1.39E-04   1.40E-08   1.00E-09   5.59E-10
   -64     -63    9.92E+00   2.09E-02   1.39E-04   1.40E-08   1.00E-09   5.59E-10
   -63     -62    9.92E+00   2.09E-02   1.39E-04   1.40E-08   1.00E-09   5.59E-10
   -62     -61    9.92E+00   2.09E-02   1.39E-04   1.40E-08   1.00E-09   5.59E-10
   -61     -60    9.92E+00   2.09E-02   1.39E-04   1.40E-08   1.00E-09   5.59E-10
   -60     -59    1.89E+01   2.42E-02   1.04E-04   1.17E-08   1.47E-09   7.42E-10
   -59     -58    1.89E+01   2.42E-02   1.04E-04   1.17E-08   1.47E-09   7.42E-10
   -58     -57    1.89E+01   2.42E-02   1.04E-04   1.17E-08   1.47E-09   7.42E-10
   -57     -56    1.89E+01   2.42E-02   1.04E-04   1.17E-08   1.47E-09   7.42E-10
   -56     -55    1.89E+01   2.42E-02   1.04E-04   1.17E-08   1.47E-09   7.42E-10
   -55     -54    1.89E+01   2.42E-02   1.04E-04   1.17E-08   1.47E-09   7.42E-10
   -54     -53    1.89E+01   2.42E-02   1.04E-04   1.17E-08   1.47E-09   7.42E-10
   -53     -52    1.89E+01   2.42E-02   1.04E-04   1.17E-08   1.47E-09   7.42E-10
   -52     -51    1.89E+01   2.42E-02   1.04E-04   1.17E-08   1.47E-09   7.42E-10
   -51     -50    1.89E+01   2.42E-02   1.04E-04   1.17E-08   1.47E-09   7.42E-10
   -50     -49    1.89E+01   2.42E-02   1.04E-04   1.17E-08   1.47E-09   7.42E-10
   -49     -48    1.89E+01   2.42E-02   1.04E-04   1.17E-08   1.47E-09   7.42E-10
   -48     -47    1.89E+01   2.42E-02   1.04E-04   1.17E-08   1.47E-09   7.42E-10
   -47     -46    1.89E+01   2.42E-02   1.04E-04   1.17E-08   1.47E-09   7.42E-10
   -46     -45    1.89E+01   2.42E-02   1.04E-04   1.17E-08   1.47E-09   7.42E-10
   -45     -44    1.89E+01   2.42E-02   1.04E-04   1.17E-08   1.47E-09   7.42E-10
   -44     -43    1.89E+01   2.42E-02   1.04E-04   1.17E-08   1.47E-09   7.42E-10
   -43     -42    1.89E+01   2.42E-02   1.04E-04   1.17E-08   1.47E-09   7.42E-10
   -42     -41    1.89E+01   2.42E-02   1.04E-04   1.17E-08   1.47E-09   7.42E-10
   -41     -40    1.89E+01   2.42E-02   1.04E-04   1.17E-08   1.47E-09   7.42E-10
   -40     -39    1.89E+01   2.42E-02   1.04E-04   1.17E-08   1.47E-09   7.42E-10
   -39     -38    1.89E+01   2.42E-02   1.04E-04   1.17E-08   1.47E-09   7.42E-10
   -38     -37    1.89E+01   2.42E-02   1.04E-04   1.17E-08   1.47E-09   7.42E-10
   -37     -36    1.89E+01   2.42E-02   1.04E-04   1.17E-08   1.47E-09   7.42E-10
   -36     -35    1.89E+01   2.42E-02   1.04E-04   1.17E-08   1.47E-09   7.42E-10
   -35     -34    1.89E+01   2.42E-02   1.04E-04   1.17E-08   1.47E-09   7.42E-10
   -34     -33    1.89E+01   2.42E-02   1.04E-04   1.17E-08   1.47E-09   7.42E-10
   -33     -32    1.89E+01   2.42E-02   1.04E-04   1.17E-08   1.47E-09   7.42E-10
   -32     -31    1.89E+01   2.42E-02   1.04E-04   1.17E-08   1.47E-09   7.42E-10
   -31     -30    1.89E+01   2.42E-02   1.04E-04   1.17E-08   1.47E-09   7.42E-10
   -30     -29    1.35E+01   1.31E-02   1.56E-05   5.69E-09   8.21E-10   5.00E-10
   -29     -28    1.35E+01   1.31E-02   1.56E-05   5.69E-09   8.21E-10   5.00E-10
   -28     -27    1.35E+01   1.31E-02   1.56E-05   5.69E-09   8.21E-10   5.00E-10
   -27     -26    1.35E+01   1.31E-02   1.56E-05   5.69E-09   8.21E-10   5.00E-10
   -26     -25    1.35E+01   1.31E-02   1.56E-05   5.69E-09   8.21E-10   5.00E-10
   -25     -24    1.35E+01   1.31E-02   1.56E-05   5.69E-09   8.21E-10   5.00E-10
   -24     -23    1.35E+01   1.31E-02   1.56E-05   5.69E-09   8.21E-10   5.00E-10
   -23     -22    1.35E+01   1.31E-02   1.56E-05   5.69E-09   8.21E-10   5.00E-10
   -22     -21    1.35E+01   1.31E-02   1.56E-05   5.69E-09   8.21E-10   5.00E-10
   -21     -20    1.35E+01   1.31E-02   1.56E-05   5.69E-09   8.21E-10   5.00E-10
   -20     -19    1.35E+01   1.31E-02   1.56E-05   5.69E-09   8.21E-10   5.00E-10
   -19     -18    1.35E+01   1.31E-02   1.56E-05   5.69E-09   8.21E-10   5.00E-10
   -18     -17    1.35E+01   1.31E-02   1.56E-05   5.69E-09   8.21E-10   5.00E-10
   -17     -16    1.35E+01   1.31E-02   1.56E-05   5.69E-09   8.21E-10   5.00E-10
