 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/kps)
  Year: 2028  Perigee Altitude =    328.132  Apogee Altitude =   331.665  inc =   51.63
 *
 *
 *
 *
 *
 *
 *
 Vel 1   Vel 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          2.93E-06   1.32E-11   1.32E-11   8.44E-10   1.84E-11   9.87E-12
   Max.:          3.49E+02   4.01E-01   2.40E-03   1.93E-07   2.24E-08   1.19E-08
 ------  ------   --------   --------   --------   --------   --------   --------  
   0.0     0.1    1.31E+01   4.96E-02   5.01E-04   1.26E-08   1.99E-09   1.26E-09
   0.1     0.2    1.31E+01   4.96E-02   5.01E-04   1.26E-08   1.99E-09   1.26E-09
   0.2     0.3    1.31E+01   4.96E-02   5.01E-04   1.26E-08   1.99E-09   1.26E-09
   0.3     0.4    1.31E+01   4.96E-02   5.01E-04   1.26E-08   1.99E-09   1.26E-09
   0.4     0.5    1.31E+01   4.96E-02   5.01E-04   1.26E-08   1.99E-09   1.26E-09
   0.5     0.6    1.31E+01   4.96E-02   5.01E-04   1.26E-08   1.99E-09   1.26E-09
   0.6     0.7    1.31E+01   4.96E-02   5.01E-04   1.26E-08   1.99E-09   1.26E-09
   0.7     0.8    1.31E+01   4.96E-02   5.01E-04   1.26E-08   1.99E-09   1.26E-09
   0.8     0.9    1.31E+01   4.96E-02   5.01E-04   1.26E-08   1.99E-09   1.26E-09
   0.9     1.0    1.31E+01   4.96E-02   5.01E-04   1.26E-08   1.99E-09   1.26E-09
   1.0     1.1    1.31E+01   4.96E-02   5.01E-04   1.26E-08   1.99E-09   1.26E-09
   1.1     1.2    1.31E+01   4.96E-02   5.01E-04   1.26E-08   1.99E-09   1.26E-09
   1.2     1.3    1.31E+01   4.96E-02   5.01E-04   1.26E-08   1.99E-09   1.26E-09
   1.3     1.4    1.31E+01   4.96E-02   5.01E-04   1.26E-08   1.99E-09   1.26E-09
   1.4     1.5    1.31E+01   4.96E-02   5.01E-04   1.26E-08   1.99E-09   1.26E-09
   1.5     1.6    1.31E+01   4.96E-02   5.01E-04   1.26E-08   1.99E-09   1.26E-09
   1.6     1.7    1.31E+01   4.96E-02   5.01E-04   1.26E-08   1.99E-09   1.26E-09
   1.7     1.8    1.31E+01   4.96E-02   5.01E-04   1.26E-08   1.99E-09   1.26E-09
   1.8     1.9    1.31E+01   4.96E-02   5.01E-04   1.26E-08   1.99E-09   1.26E-09
   1.9     2.0    1.31E+01   4.96E-02   5.01E-04   1.26E-08   1.99E-09   1.26E-09
   2.0     2.1    4.55E+01   9.38E-02   5.93E-04   4.10E-08   4.72E-09   2.31E-09
   2.1     2.2    4.55E+01   9.38E-02   5.93E-04   4.10E-08   4.72E-09   2.31E-09
   2.2     2.3    4.55E+01   9.38E-02   5.93E-04   4.10E-08   4.72E-09   2.31E-09
   2.3     2.4    4.55E+01   9.38E-02   5.93E-04   4.10E-08   4.72E-09   2.31E-09
   2.4     2.5    4.55E+01   9.38E-02   5.93E-04   4.10E-08   4.72E-09   2.31E-09
   2.5     2.6    4.55E+01   9.38E-02   5.93E-04   4.10E-08   4.72E-09   2.31E-09
   2.6     2.7    4.55E+01   9.38E-02   5.93E-04   4.10E-08   4.72E-09   2.31E-09
   2.7     2.8    4.55E+01   9.38E-02   5.93E-04   4.10E-08   4.72E-09   2.31E-09
   2.8     2.9    4.55E+01   9.38E-02   5.93E-04   4.10E-08   4.72E-09   2.31E-09
   2.9     3.0    4.55E+01   9.38E-02   5.93E-04   4.10E-08   4.72E-09   2.31E-09
   3.0     3.1    4.55E+01   9.38E-02   5.93E-04   4.10E-08   4.72E-09   2.31E-09
   3.1     3.2    4.55E+01   9.38E-02   5.93E-04   4.10E-08   4.72E-09   2.31E-09
   3.2     3.3    4.55E+01   9.38E-02   5.93E-04   4.10E-08   4.72E-09   2.31E-09
   3.3     3.4    4.55E+01   9.38E-02   5.93E-04   4.10E-08   4.72E-09   2.31E-09
   3.4     3.5    4.55E+01   9.38E-02   5.93E-04   4.10E-08   4.72E-09   2.31E-09
   3.5     3.6    4.55E+01   9.38E-02   5.93E-04   4.10E-08   4.72E-09   2.31E-09
   3.6     3.7    4.55E+01   9.38E-02   5.93E-04   4.10E-08   4.72E-09   2.31E-09
   3.7     3.8    4.55E+01   9.38E-02   5.93E-04   4.10E-08   4.72E-09   2.31E-09
   3.8     3.9    4.55E+01   9.38E-02   5.93E-04   4.10E-08   4.72E-09   2.31E-09
   3.9     4.0    4.55E+01   9.38E-02   5.93E-04   4.10E-08   4.72E-09   2.31E-09
   4.0     4.1    9.25E+01   1.27E-01   7.22E-04   1.05E-07   7.74E-09   3.77E-09
   4.1     4.2    9.25E+01   1.27E-01   7.22E-04   1.05E-07   7.74E-09   3.77E-09
   4.2     4.3    9.25E+01   1.27E-01   7.22E-04   1.05E-07   7.74E-09   3.77E-09
   4.3     4.4    9.25E+01   1.27E-01   7.22E-04   1.05E-07   7.74E-09   3.77E-09
   4.4     4.5    9.25E+01   1.27E-01   7.22E-04   1.05E-07   7.74E-09   3.77E-09
   4.5     4.6    9.25E+01   1.27E-01   7.22E-04   1.05E-07   7.74E-09   3.77E-09
   4.6     4.7    9.25E+01   1.27E-01   7.22E-04   1.05E-07   7.74E-09   3.77E-09
   4.7     4.8    9.25E+01   1.27E-01   7.22E-04   1.05E-07   7.74E-09   3.77E-09
   4.8     4.9    9.25E+01   1.27E-01   7.22E-04   1.05E-07   7.74E-09   3.77E-09
   4.9     5.0    9.25E+01   1.27E-01   7.22E-04   1.05E-07   7.74E-09   3.77E-09
   5.0     5.1    9.25E+01   1.27E-01   7.22E-04   1.05E-07   7.74E-09   3.77E-09
   5.1     5.2    9.25E+01   1.27E-01   7.22E-04   1.05E-07   7.74E-09   3.77E-09
