Reentry Data
Row Num,Name,Parent,Qty,Material,Body Type,Thermal Mass,Diameter/Width,Length,Height,Status,Risk,Demise Alt,Total DCA,KE
1,PROVES - Taygeta,0,1,Aluminum 5052,Box,3.43,0.108,0.227,0.108,Compliant,'0',,0.00,
2,Primary Structure,1,1,Aluminum 5052,Box,0.192,0.1,0.1135,0.1,,,77.0,0.00,0.00
3,Flight Controller Board,1,1,Fiberglass,Flat Plate,0.0446,0.09,0.09,,,,77.2,0.00,0.00
4,Battery Pack,1,1,Fiberglass,Flat Plate,0.0446,0.09,0.09,,,,77.2,0.00,0.00
5,Battery Cells,4,4,Steel AISI 316,Cylinder,0.046,0.018,0.065,,,,73.6,0.00,0.00
6,M2.5 Fastener,1,52,Steel AISI 316,Cylinder,0.0003,0.00238,0.01,,,,77.4,0.00,0.00
7,Card Bracket,1,8,Aluminum 5052,Flat Plate,0.0044,0.02,0.088,,,,77.7,0.00,0.00
8,Solar Panel,1,5,Fiberglass,Flat Plate,0.0025,0.07,0.09,,,,77.9,0.00,0.00
9,Solar Cell,8,30,Fiberglass,Flat Plate,0.0033,0.018,0.042,,,,77.5,0.00,0.00
10,Antenna Board,1,1,Fiberglass,Flat Plate,0.0427,0.1,0.1,,,,77.3,0.00,0.00
11,Antenna,10,2,Steel AISI 316,Flat Plate,0.0001,0.0127,0.1778,,,,77.3,0.00,0.00
12,L-Backets,1,4,Aluminum 5052,Flat Plate,0.0024,0.018,0.035,,,,77.7,0.00,0.00
13,Payload PCB,1,2,Fiberglass,Flat Plate,0.0446,0.09,0.09,,,,77.2,0.00,0.00
14,Satellite Foot,1,8,Polyamide,Box,0.0021,0.014,0.031,0.014,,,77.9,0.00,0.00
15,M2.5 and Locknut,1,16,Stainless Steel (generic),Cylinder,0.002,0.0238,0.02,,,,77.7,0.00,0.00
16,Ballast,1,1,Lead Element,Box,2.338,0.09,0.09,0.04,,,76.5,0.00,0.00
